# Detector Count (1)
DetectorCount
1

# Detector Parameters (5)
DetectorIndex, DetectorPageCount, DetectorCellXSize, DetectorCellYSize, DetectorNormalizer
0, 360, 0.180000, 0.180000, 1.525879e-05

# Page Parameters (23)
PageIndex, SourceLocationX, SourceLocationY, SourceLocationZ, SourceEulerAngle0, SourceEulerAngle1, SourceEulerAngle2, SourceEulerSequence, DetectorLocationX, DetectorLocationY, DetectorLocationZ, DetectorEulerAngle0, DetectorEulerAngle1, DetectorEulerAngle2, DetectorEulerSequence, ObjectLocationX, ObjectLocationY, ObjectLocationZ, ObjectEulerAngle0, ObjectEulerAngle1, ObjectEulerAngle2, ObjectEulerSequence, FilteringAngle
55, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.777778, 0.000000, 10.000000, 219.449997, 0.000000, 0.000000, 0, 88.180000
56, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.755556, 0.000000, 10.000000, 223.440002, 0.000000, 0.000000, 0, 88.180000
57, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.733333, 0.000000, 10.000000, 227.429993, 0.000000, 0.000000, 0, 88.180000
58, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.711111, 0.000000, 10.000000, 231.419998, 0.000000, 0.000000, 0, 88.180000
59, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.688889, 0.000000, 10.000000, 235.410004, 0.000000, 0.000000, 0, 88.180000
60, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.666667, 0.000000, 10.000000, 239.399994, 0.000000, 0.000000, 0, 88.180000
61, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.644444, 0.000000, 10.000000, 243.389999, 0.000000, 0.000000, 0, 88.180000
62, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.622222, 0.000000, 10.000000, 247.380005, 0.000000, 0.000000, 0, 88.180000
63, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.600000, 0.000000, 10.000000, 251.369995, 0.000000, 0.000000, 0, 88.180000
64, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.577778, 0.000000, 10.000000, 255.360001, 0.000000, 0.000000, 0, 88.180000
65, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.555556, 0.000000, 10.000000, 259.350006, 0.000000, 0.000000, 0, 88.180000
66, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.533333, 0.000000, 10.000000, 263.339996, 0.000000, 0.000000, 0, 88.180000
67, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.511111, 0.000000, 10.000000, 267.329987, 0.000000, 0.000000, 0, 88.180000
68, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.488889, 0.000000, 10.000000, 271.320007, 0.000000, 0.000000, 0, 88.180000
69, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.466667, 0.000000, 10.000000, 275.309998, 0.000000, 0.000000, 0, 88.180000
70, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.444444, 0.000000, 10.000000, 279.299988, 0.000000, 0.000000, 0, 88.180000
71, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.422222, 0.000000, 10.000000, 283.290009, 0.000000, 0.000000, 0, 88.180000
